block_geoid,pop
360050043004002,119
360050043004003,199
360050044004001,74
360050044001000,1286
360050044001001,0
360050044002000,643
360050044003000,313
360050044003001,414
360050044003002,1004
360050044004000,908
360050044004002,0
360050046001001,0
360050046001002,0
360050046001006,586
360050046001008,194
360050046001009,95
360050046001011,294
360050046001000,24
360050046001003,162
360050046001004,0
360050046001005,319
360050046001007,302
360050046001010,0
360050048002004,0
360050048002000,1129
360050048002002,715
360050048002005,0
360050048001000,0
360050048001001,0
360050048001002,0
360050048001003,1727
360050048001004,222
360050048002001,309
360050048002003,82
360050050011001,387
360050050011000,839
360050050012000,1498
360050050013000,1168
360050050014000,1068
360050050021000,1271
360050050021001,1335
360050050022000,1266
360050050023000,1249
360050050024000,1397
360050051002012,168
360050051003000,2234
360050051003001,187
360050051002001,494
360050051001018,0
360050051001000,0
360050051001001,158
360050051001002,77
360050051001003,0
360050051001004,0
360050051001005,0
360050051001006,0
360050051001007,0
360050051001008,0
360050051001009,0
360050051001010,0
360050051001011,4
360050051001012,0
360050051001014,108
360050051001015,0
360050051001016,27
360050051001013,0
360050051001017,0
360050051001019,0
360050051002000,0
360050051002002,42
360050051002003,0
360050051002004,6
360050051002005,0
360050051002006,35
360050051002007,2581
360050051002008,106
360050051002009,34
360050051002010,198
360050051002011,0
360050052001000,292
360050052001001,26
360050052001002,0
360050052001003,0
360050052001004,507
360050052002000,1305
360050053002000,2209
360050053001000,2162
360050053001001,0
360050053001002,0
360050053001003,0
360050053002001,0
360050053002002,0
360050054001000,356
360050054001001,1055
360050054002000,899
360050054002001,1016
360050054002002,945
360050054003000,538
360050054003001,103
360050054003002,423
360050054004000,1469
360050056001000,924
360050056003000,0
360050056003001,157
360050056003002,417
360050056003003,408
360050056003004,112
360050056001001,22
360050056002000,823
360050059021001,0
360050059021000,360
360050059021002,537
360050059022000,1092
360050059022001,588
360050060002002,0
360050060001002,336
360050060002010,0
360050060001000,0
360050060001001,216
360050060001003,0
360050060001004,574
360050060001005,0
360050060001006,133
360050060001007,0
360050060001008,0
360050060001009,0
360050060002000,0
360050060002001,0
360050060002003,0
360050060002004,3
360050060002005,0
360050060002006,0
360050060002007,0
360050060002008,0
360050060002009,0
360050060002011,0
360050060002012,0
360050060002013,0
360050061004003,37
360050061004004,26
360050061002001,1082
360050061003000,1158
360050061004000,4
360050061004001,0
360050061001000,31
360050061002000,1106
360050061004002,0
360050062002000,1528
360050062005000,0
360050062005001,0
360050062001002,0
360050062001003,0
360050062001004,605
360050062001005,622
360050062003000,1898
360050062004000,1296
360050062005002,672
360050062001000,0
360050062001001,148
360050063016004,0
360050063016007,0
360050063016010,127
360050063016013,0
360050063011000,0
360050063011001,0
360050063011003,452
360050063014004,295
360050063015005,0
360050063016000,0
360050063016002,0
360050063016003,0
360050063016005,0
360050063016006,0
360050063016008,0
360050063016009,0
360050063016011,278
360050063016012,61
360050063016014,153
360050063016015,86
360050063016016,0
360050063011002,0
360050063011004,453
360050063011005,0
360050063012000,371
360050063012001,795
360050063013000,1114
360050063013001,0
360050063013002,0
360050063014000,22
360050063014001,1638
360050063014002,0
360050063014003,21
360050063015000,18
360050063015001,0
360050063015002,316
360050063015003,310
360050063015004,0
360050063015006,0
360050063015007,0
360050063015008,0
360050063015009,0
360050063015010,0
360050063015011,0
360050063015012,0
360050063015013,28
360050063015014,29
360050063016001,0
360050063021000,0
360050063021003,19
360050063021006,0
360050063021001,0
360050063021002,0
360050063021004,0
360050063021005,0
360050063021007,0
360050063021008,0
360050063021009,0
360050064001000,536
360050064001001,500
360050064001002,512
360050064001003,292
360050064001004,0
360050064002000,746
360050064003000,591
360050064003001,0
360050064004000,379
360050064004001,483
360050064004002,147
360050065001002,49
360050065001005,651
360050065002002,1532
360050065004002,151
360050065004005,400
360050065001000,35
360050065001001,422
360050065001003,0
360050065001004,80
360050065002000,568
360050065002001,1335
360050065003000,853
360050065004000,0
360050065004001,152
360050065004003,0
360050065004004,23
360050067001002,328
360050067001005,132
360050067003000,706
360050067004001,324
360050067006000,393
360050067006002,590
360050067001000,116
360050067001001,370
360050067001003,0
360050067001004,234
360050067002000,687
360050067002001,208
360050067002002,151
360050067003001,318
360050067004000,720
360050067004002,718
360050067005000,783
360050067006001,115
360050068001000,452
360050068002000,0
360050068001001,408
360050068001002,471
360050068002001,0
360050068002002,34
360050068002003,684
360050068003000,0
360050068003001,636
360050068003002,734
360050069002002,401
360050069002005,91
360050069004000,976
360050069001000,336
360050069001001,275
360050069001002,688
360050069001003,476
360050069001004,194
360050069001005,253
360050069001006,148
360050069001007,80
360050069001008,302
360050069002000,141
360050069002001,642
360050069002003,496
360050069002004,73
360050069002006,52
360050069003000,654
360050069003001,686
360050070001002,163
360050070001005,299
360050070003000,501
360050070001000,432
360050070001001,529
360050070001003,670
360050070001004,570
360050070002000,499
360050070002001,475
360050070003001,369
360050070003002,514
360050071001000,0
360050071001004,155
360050071001007,102
360050071002001,0
360050071002004,0
360050071002008,0
360050071002006,0
360050071001001,0
360050071001002,233
360050071001003,128
360050071001005,75
360050071001006,111
360050071001008,47
360050071002000,285
360050071002002,96
360050071002003,197
360050071002005,1195
360050071002007,158
360050071002009,0
360050071002010,0
360050071002011,0
360050071002012,0
360050071002013,0
360050071002014,7
360050072003004,970
360050072004000,963
360050072001000,0
360050072001001,556
360050072001002,496
360050072001003,969
360050072002000,1424
360050072002001,427
360050072002002,412
360050072003000,28
360050072003001,46
360050072003002,0
360050072003003,0
360050073001001,323
360050073001004,330
360050073001000,446
360050073001002,161
360050073001003,261
360050073002000,512
360050073002001,669
360050073003000,868
360050073003001,635
360050073003002,0
360050074001000,388
360050074002000,192
360050074003000,1086
360050074001001,383
360050074001002,418
360050074002001,289
360050074002002,780
360050075002000,104
360050075001000,1086
360050075001001,670
360050075002001,223
360050075002002,418
360050075002003,1597
360050075002004,0
360050075002005,245
360050075002006,118
360050075002007,183
360050075002008,278
360050075003000,985
360050075004000,27
360050075004001,815
360050076003001,308
360050076004002,504
360050076005000,150
360050076005003,0
360050076001000,98
360050076001001,522
360050076002000,586
360050076002001,576
360050076003000,589
360050076004000,36
360050076004001,92
360050076004003,643
360050076004004,0
360050076004005,422
360050076005001,348
360050076005002,495
360050076005004,32
360050076005005,281
360050077001000,228
360050077001003,100
360050077001006,175
360050077001010,0
360050077001001,137
360050077001002,220
360050077001004,294
360050077001005,130
360050077001007,119
360050077001008,21
360050077001009,66
360050077001011,264
360050077001012,220
360050078001000,0
360050078001003,433
360050078002000,0
360050078002004,496
360050078002002,306
360050078001001,44
360050078001002,340
360050078001004,474
360050078001005,423
360050078002001,0
360050078002003,698
360050078002005,302
360050078002006,649
360050078002007,518
360050078003000,370
360050078003001,858
360050078004000,225
360050078004001,901
360050079004000,378
360050079004003,137
360050079001000,539
360050079001001,133
360050079001002,574
360050079001003,288
360050079002000,526
360050079002001,278
360050079003000,260
360050079003001,633
360050079003002,185
360050079004001,799
360050079004002,224
360050079004004,70
360050079005000,852
360050079006000,950
360050083001000,409
360050083002000,369
360050083003001,276
360050083005000,911
360050083006002,0
360050083001001,480
360050083001002,188
360050083002001,316
360050083003000,993
360050083004000,472
360050083004001,783
360050083006000,552
360050083006001,373
360050083006003,0
360050084002000,262
360050084002003,340
360050084002006,206
360050084001000,335
360050084001001,510
360050084002001,278
360050084002002,299
360050084002004,322
360050084002005,35
360050085001002,957
360050085002003,225
360050085002001,232
360050085001000,27
360050085001001,0
360050085002000,98
360050085002002,749
360050085002004,0
360050085002005,607
360050085003000,312
360050085003001,329
360050085003002,42
360050085003003,368
360050085004000,906
360050085005000,1042
360050086001000,379
360050086001001,376
360050086001002,204
360050086002000,1602
360050086003000,1584
360050087001004,262
360050087002000,342
360050087003000,119
360050087004001,446
360050087001005,0
360050087001000,0
360050087001001,346
360050087001002,596
360050087001003,0
360050087001006,0
360050087002001,524
360050087002002,622
360050087003001,741
360050087004000,529
360050087005000,987
360050087005001,462
360050089001000,646
360050089002000,128
360050089002002,592
360050089001001,392
360050089001002,404
360050089001003,264
360050089002001,692
360050090004002,197
360050090000003,0
360050090001001,0
360050090001002,0
360050090001004,30
360050090001005,14
360050090001006,32
360050090002006,0
360050090002007,0
360050090000001,0
360050090000002,0
360050090001000,0
360050090001003,0
360050090001007,0
360050090001008,0
360050090001009,63
360050090001010,97
360050090002000,0
360050090002001,0
360050090002002,0
360050090002003,0
360050090002004,0
360050090002005,0
360050090002008,0
360050090002009,0
360050090002010,0
360050090002011,0
360050090002014,0
360050090002015,33
360050090002016,61
360050090002017,124
360050090002018,20
360050090002019,308
360050090002020,0
360050090003000,734
360050090002012,0
360050090002013,0
360050090003001,0
360050090004000,160
360050090004001,251
360050090004003,278
360050090005000,1509
360050092001001,0
360050092003004,0
360050092003005,62
360050092003006,0
360050092004001,573
360050092005002,0
360050092005003,0
360050092005004,0
360050092001005,0
360050092001006,0
360050092001007,0
360050092002000,443
360050092002001,423
360050092003000,416
360050092003001,471
360050092003002,754
360050092003003,252
360050092004000,468
360050092005000,695
360050092005001,329
360050092001000,1067
360050092001002,0
360050092001003,269
360050092001004,49
360050093014012,0
360050093015000,0
360050093015001,0
360050093015007,51
360050093015008,0
360050093016000,0
360050093016001,0
360050093012001,420
360050093014003,0
360050093014006,0
360050093011000,218
360050093011001,346
360050093011002,517
