Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District,Latitude,Longitude,Point
B,Completely Locked,06/22/2020 04:19:50 PM,B320,B320,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Berkeley Pl. and Lincoln Pl. between 5 Ave. and 6 Ave.,Park Slope Playground,Adults Allowed,B320-CPA-0001,03/31/2020,06/22/2020,306,B-06,40.67692184448242,-73.97879028320312,POINT (-73.97879028320312 40.67692184448242)
M,Completely Locked,06/19/2020 10:13:51 AM,M201,M201,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E. Houston St. and FDR Dr.,Wald Playground,Adults Allowed,M201-CPA-0001,03/31/2020,06/19/2020,103,M-03,40.71961212158203,-73.97693634033203,POINT (-73.97693634033203 40.71961212158203)
Q,Completely Locked,06/22/2020 01:29:55 PM,Q014,Q014,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,30 Rd. bet. 45 St. and 46 St.,Astoria Heights Playground,Unknown,Q014-CPA-0001,03/31/2020,06/22/2020,401,Q-01,40.760833740234375,-73.91157531738281,POINT (-73.91157531738281 40.760833740234375)
B,Completely Locked,06/22/2020 03:35:50 PM,B267,B267,,Active,No,Not Applicable,Winthrop St. between Rogers Ave. and Bedford Ave.,Winthrop Playground,Adults Allowed,B267-CPA-0001,03/31/2020,06/22/2020,309,B-09,40.65656661987305,-73.95478820800781,POINT (-73.95478820800781 40.65656661987305)
Q,Partially Locked,06/23/2020 11:10:39 AM,Q358,Q358,,Active,No,Not Applicable,235 Ct. bet. Hillside Ave. and 87 Ave.,Detective William T. Gunn Playground,Adults Allowed,Q358-CPA-0001,03/31/2020,06/23/2020,413,Q-13,40.732425689697266,-73.73162078857422,POINT (-73.73162078857422 40.732425689697266)
B,Completely Locked,06/22/2020 04:42:03 PM,B356,B356,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Pacific St. between Nevins St. and 3 Ave.,North Pacific Playground,Adults not allowed in some locations,B356-CPA-0001,03/31/2020,06/22/2020,302,B-02,40.68522644042969,-73.98209381103516,POINT (-73.98209381103516 40.68522644042969)
M,Completely Locked,06/19/2020 10:13:18 AM,M088,M088-01,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,East 9 St & Ave A,Tompkins Square Park,Adults not allowed in some locations,M088-CPA-0001,03/31/2020,06/19/2020,103,M-03,40.72678756713867,-73.98255157470703,POINT (-73.98255157470703 40.72678756713867)
X,Completely Locked,06/22/2020 11:08:41 AM,X126,X126-ZN04,,Active,No,Not Applicable,Balcom Ave Btw Schley & Miles Aves,Ferry Point Park Zone 4,Adults not allowed in some locations,X126-CPA-0001,03/31/2020,06/21/2020,210,X-10,40.819950103759766,-73.82614135742188,POINT (-73.82614135742188 40.819950103759766)
X,Completely Locked,06/22/2020 10:30:28 AM,X013,X013-02,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Sedgwick Ave & Fordham Rd,Devoe Park,Adults not allowed in some locations,X013-CPA-0002,03/31/2020,06/21/2020,207,X-05,40.8631591796875,-73.90780639648438,POINT (-73.90780639648438 40.8631591796875)
R,Completely Locked,06/19/2020 01:54:28 PM,R046,R046-05,,,,,,Playland Playground,,,03/31/2020,06/19/2020,595,R-02B,40.58891296386719,-74.06752014160156,POINT (-74.06752014160156 40.58891296386719)
M,Partially Locked,06/22/2020 05:21:32 PM,M045,M045,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,"FDR Dr., E 76 St. To E 78 St.",John Jay Park,Adults not allowed in some locations,M045-CPA-0001,03/31/2020,06/21/2020,108,M-08,40.7695426940918,-73.94949340820312,POINT (-73.94949340820312 40.7695426940918)
Q,Partially Locked,06/23/2020 12:26:47 PM,Q089B,Q089B-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"20 Ave, Whitestone Exwy",Harvey Playground,Adults Allowed,Q089B-CPA-0001,03/31/2020,06/23/2020,407,Q-07,40.78263854980469,-73.82376861572266,POINT (-73.82376861572266 40.78263854980469)
Q,Completely Locked,06/22/2020 03:11:56 PM,Q044,Q044,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"47 Ave., Greenpoint Ave. bet. 42 St. and 43 St.",L/CPL Thomas P. Noonan Jr. Playground,Adults Allowed,Q044-CPA-0001,03/31/2020,06/22/2020,402,Q-02,40.74114990234375,-73.9222640991211,POINT (-73.9222640991211 40.74114990234375)
R,Completely Locked,07/06/2020 02:25:41 PM,R105,R105,,,,,"Elizabet.h St., Forest Ave., Broadway, Clove Lake Pl.",Prall Playground,,,03/31/2020,07/06/2020,501,R-01,40.62860107421875,-74.11813354492188,POINT (-74.11813354492188 40.62860107421875)
B,Partially Locked,06/22/2020 03:28:45 PM,B210W,B210W,,,,,,John J Carty Park,,,03/31/2020,06/22/2020,310,B-10,40.61452102661133,-74.02922821044922,POINT (-74.02922821044922 40.61452102661133)
B,Completely Locked,06/22/2020 01:55:05 PM,B275,B275,,Active,No,Not Applicable,"Shore Pkwy., Brighton 3 St., Brighton 4 St.",Grady Playground,Adults Allowed,B275-CPA-0001,03/31/2020,06/22/2020,313,B-13,40.58236312866211,-73.96452331542969,POINT (-73.96452331542969 40.58236312866211)
R,Not Lockable,06/22/2020 02:56:45 PM,R119,R119-01,,Active,No,Not Applicable,"Next To Nature Ctr At 222 Poillon Ave, Btw Amboy Rd, Hylan Blvd",Blue Heron Tot Lot,Adults not allowed in some locations,R119-CPA-0001,03/31/2020,06/22/2020,503,R-03,40.530818939208984,-74.17748260498047,POINT (-74.17748260498047 40.530818939208984)
B,Completely Locked,06/24/2020 10:51:38 AM,B380,B380,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Belmont Ave., Sutter Ave., Sheridan Ave. and Grant Ave.",Robert E. Venable Park,Adults not allowed in some locations,B380-CPA-0001,03/31/2020,06/23/2020,305,B-05,40.67406463623047,-73.86511993408203,POINT (-73.86511993408203 40.67406463623047)
B,Completely Locked,06/22/2020 03:45:07 PM,B244,B244,,Active,No,Not Applicable,Mcdonald Ave. between Ave. S and Ave. T,McDonald Playground,Unknown,B244-CPA-0001,03/31/2020,06/22/2020,315,B-15,40.601314544677734,-73.9719467163086,POINT (-73.9719467163086 40.601314544677734)
B,Completely Locked,06/23/2020 10:01:04 AM,B430,B430,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Willoughby Ave. between Lewis Ave. and Marcus Garvey Blvd.,Lewis Playground,Adults Allowed,B430-CPA-0001,03/31/2020,06/22/2020,303,B-03,40.695457458496094,-73.93791198730469,POINT (-73.93791198730469 40.695457458496094)
M,Partially Locked,06/22/2020 05:24:24 PM,M187,M187,,,,,"2 Ave., E. 96 St. to E. 97 St.",Marx Brothers Playground,,,03/31/2020,06/21/2020,111,M-11,40.78433609008789,-73.9461669921875,POINT (-73.9461669921875 40.78433609008789)
Q,Completely Locked,06/22/2020 10:20:18 AM,Q300,Q300-05,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Colden & Juniper Sts,Rachel Carson Playground,Unknown,Q300-CPA-0004,03/31/2020,06/22/2020,407,Q-07,40.74924087524414,-73.82201385498047,POINT (-73.82201385498047 40.74924087524414)
R,Completely Locked,06/22/2020 04:56:22 PM,R015,R015,,Active,No,Not Applicable,"Delafield Pl., Bard Ave., and Davis Ave.",Walker Park,Adults not allowed in some locations,R015-CPA-0001,03/31/2020,06/22/2020,501,R-01,40.64366912841797,-74.1104507446289,POINT (-74.1104507446289 40.64366912841797)
M,Completely Locked,06/22/2020 01:09:00 PM,M215,M215,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"99 St. To 100 St., 3 Ave.",Cherry Tree Park,Adults Allowed,M215-CPA-0001,03/31/2020,06/21/2020,111,M-11,40.787227630615234,-73.94747924804688,POINT (-73.94747924804688 40.787227630615234)
M,Completely Locked,06/22/2020 11:10:37 AM,M010,M010-195,,Active,Yes,Level 1: Playgrounds for All Children,100 St & 5th Ave,Bendheim Plgd,Unknown,M010-CPA-0016,03/31/2020,06/21/2020,164,M-13,40.790348052978516,-73.95446014404297,POINT (-73.95446014404297 40.790348052978516)
M,Completely Locked,06/29/2020 12:01:29 PM,M200A,M200A,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"W. 108 St. to W. 109 St., Columbus Ave. and Amsterdam Ave.",Anibal Aviles Playground,Adults not allowed in some locations,M200A-CPA-0001,03/31/2020,06/29/2020,107,M-07,40.801185607910156,-73.96286010742188,POINT (-73.96286010742188 40.801185607910156)
X,Completely Locked,06/22/2020 10:03:12 AM,X014,X014,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E. 165 St. and Rogers Pl.,Horseshoe Playground,Adults Allowed,X014-CPA-0001,03/31/2020,06/21/2020,202,X-02,40.824066162109375,-73.897705078125,POINT (-73.897705078125 40.824066162109375)
M,Partially Locked,06/22/2020 12:58:48 PM,M141,M141,,Active,No,Not Applicable,"Harlem River Dr., W. 151 St. To W. 154 St.",Harlem Lane Playground,Adults not allowed in some locations,M141-CPA-0001,03/31/2020,06/21/2020,110,M-10,40.825096130371094,-73.9347152709961,POINT (-73.9347152709961 40.825096130371094)
B,Completely Locked,06/22/2020 01:44:50 PM,B057,B057-04,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,S/O Ave U & E 38 St,Lenape Playground,Unknown,B057-CPA-0002,03/31/2020,06/22/2020,318,B-18,40.60630416870117,-73.92633819580078,POINT (-73.92633819580078 40.60630416870117)
X,Completely Locked,06/22/2020 10:32:41 AM,X197,X197,,Active,No,Not Applicable,Mosholu Parkway South bet. Bainbridge Ave. and Briggs Ave.,Mosholu Playground,Adults Allowed,X197-CPA-0001,03/31/2020,06/21/2020,207,X-07,40.8727912902832,-73.88296508789062,POINT (-73.88296508789062 40.8727912902832)
X,Completely Locked,06/22/2020 10:54:45 AM,X176,X176,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Guerlain St. bet. Taylor Ave. and Thieriot Ave.,Taylor Playground,Adults Allowed,X176-CPA-0001,03/31/2020,06/21/2020,209,X-09,40.83906173706055,-73.86621856689453,POINT (-73.86621856689453 40.83906173706055)
X,Completely Locked,06/22/2020 01:11:56 PM,X208,X208,,,,,,Haviland Playground,,,03/31/2020,06/21/2020,209,X-09,40.829044342041016,-73.8586196899414,POINT (-73.8586196899414 40.829044342041016)
X,Completely Locked,06/22/2020 10:35:54 AM,X020,X020,,Active,No,Not Applicable,Jerome Park Resevoir and Sedgwick Av bet. W,Fort Independence Playground,Adults Allowed,X020-CPA-0001,03/31/2020,06/21/2020,208,X-08,40.88164520263672,-73.89603424072266,POINT (-73.89603424072266 40.88164520263672)
B,Completely Locked,06/22/2020 01:33:06 PM,B342,B342,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Glenwood Rd. between E. 100 St. and E. 101 St.,100% Playground,Adults Allowed,B342-CPA-0001,03/31/2020,06/22/2020,318,B-18,40.64681625366211,-73.89938354492188,POINT (-73.89938354492188 40.64681625366211)
B,Completely Locked,06/22/2020 01:09:47 PM,B219,B219,,Active,No,Not Applicable,"Fulton St., Truxton St., bet. Eastern Pkwy. and Van Sinderen Ave.",Callahan-Kelly Playground,Adults Allowed,B219-CPA-0001,03/31/2020,06/21/2020,316,B-16,40.678314208984375,-73.90653991699219,POINT (-73.90653991699219 40.678314208984375)
B,Partially Locked,06/22/2020 03:16:36 PM,B055,B055,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,Lorimer St. bet. Montrose Ave. and Boerum St.,Sternberg Park,Adults not allowed in some locations,B055-CPA-0001,03/31/2020,06/21/2020,301,B-01,40.70583724975586,-73.94681549072266,POINT (-73.94681549072266 40.70583724975586)
B,Completely Locked,06/23/2020 10:09:07 AM,B073,B073-10,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,Lincoln Rd & Ocean Ave,Lincoln Rd Plgd,Unknown,B073-CPA-0005,03/31/2020,06/22/2020,355,B-19,40.660831451416016,-73.9634017944336,POINT (-73.9634017944336 40.660831451416016)
X,Completely Locked,06/22/2020 10:19:06 AM,X010A,X010A-01,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,E Tremont & Arthur Aves,Tremont Plgd (1),Adults Allowed,X010A-CPA-0001,03/31/2020,06/21/2020,206,X-06,40.84612274169922,-73.89373016357422,POINT (-73.89373016357422 40.84612274169922)
M,Completely Locked,06/19/2020 10:06:33 AM,M124,M124,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Houston St., E. 1 St., 1 Ave.",First Park,Adults Allowed,M124-CPA-0001,03/31/2020,06/19/2020,103,M-03,40.72333908081055,-73.98914337158203,POINT (-73.98914337158203 40.72333908081055)
X,Completely Locked,06/22/2020 11:18:28 AM,X039,X039-06K,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,Orchard Beach  Section 6-7,Pelican Bay Plgd,Unknown,X039-CPA-0003,03/31/2020,06/21/2020,228,X-15A,40.868038177490234,-73.79344940185547,POINT (-73.79344940185547 40.868038177490234)
B,Completely Locked,06/22/2020 01:13:30 PM,B250,B250,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Nostrand Ave. between Foster Ave. and Farragut Pl.,Nostrand Playground,Adults not allowed in some locations,B250-CPA-0001,03/31/2020,06/22/2020,317,B-17,40.63840103149414,-73.94783020019531,POINT (-73.94783020019531 40.63840103149414)
B,Completely Locked,06/22/2020 03:45:07 PM,B239,B239,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Ave. Z between Nostrand Ave. and E. 29 St.,Sheepshead Playground,Adults Allowed,B239-CPA-0001,03/31/2020,06/22/2020,315,B-15,40.588951110839844,-73.94004821777344,POINT (-73.94004821777344 40.588951110839844)
B,Completely Locked,06/22/2020 03:28:45 PM,B028,B028-03,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,14 Ave & 86 St,Dyker Plgd,Unknown,B028-CPA-0002,03/31/2020,06/22/2020,310,B-10,40.612850189208984,-74.01271057128906,POINT (-74.01271057128906 40.612850189208984)
M,Partially Locked,06/22/2020 12:37:15 PM,M186,M186,,Active,No,Not Applicable,"W. 145 St. to W. 143 St., Lenox Ave., and Harlem River",Col. Young Playground,Adults Allowed,M186-CPA-0001,03/31/2020,06/21/2020,110,M-10,40.81941223144531,-73.93641662597656,POINT (-73.93641662597656 40.81941223144531)
R,Not Lockable,06/22/2020 02:57:29 PM,R089,R089,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Greencroft Ave. bet. Ainsworth Ave. and Redgrave Ave.,Greencroft Playground,Adults Allowed,R089-CPA-0001,03/31/2020,06/22/2020,503,R-03,40.55211639404297,-74.13613891601562,POINT (-74.13613891601562 40.55211639404297)
X,Not Lockable,06/22/2020 10:41:23 AM,X055,X055,,Active,No,Not Applicable,"Manhattan College Pkwy, Dash Pl, Greysto",Brust Park,Adults not allowed in some locations,X055-CPA-0001,03/31/2020,06/21/2020,208,X-08,40.88994216918945,-73.90513610839844,POINT (-73.90513610839844 40.88994216918945)
B,Not Lockable,06/22/2020 03:35:50 PM,B357,B357,,Active,No,Not Applicable,Montgomery St. between Franklin Ave. and McKeever Pl.,Jackie Robinson Playground,Adults Allowed,B357-CPA-0001,03/31/2020,06/22/2020,309,B-09,40.66596603393555,-73.95905303955078,POINT (-73.95905303955078 40.66596603393555)
X,Not Lockable,06/22/2020 11:17:10 AM,X046,X046-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"233 St, Dereimer St & Baychester Ave",High Rock Plgd,Adults not allowed in some locations,X046-CPA-0001,03/31/2020,06/21/2020,212,X-12,40.888389587402344,-73.84085845947266,POINT (-73.84085845947266 40.888389587402344)
M,Completely Locked,06/22/2020 03:30:09 PM,M072,M072-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 142 St & Riverside Dr,Riverbank Plgd,Unknown,M072-CPA-0001,03/31/2020,06/21/2020,109,M-14,40.825721740722656,-73.95378112792969,POINT (-73.95378112792969 40.825721740722656)
Q,Partially Locked,06/22/2020 01:11:37 PM,Q221,Q221,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,73 Ave. bet. 195 St. and 196 Pl.,Farm Playground,Adults Allowed,Q221-CPA-0002,03/31/2020,06/21/2020,408,Q-08,40.73629379272461,-73.77762603759766,POINT (-73.77762603759766 40.73629379272461)
Q,Completely Locked,06/22/2020 06:30:28 PM,Q444,Q444,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,38 St. bet. 31 Ave. and Broadway,Sean's Place,Adults Allowed,Q444-CPA-0001,03/31/2020,06/22/2020,401,Q-01,40.76059341430664,-73.91846466064453,POINT (-73.91846466064453 40.76059341430664)
Q,Completely Locked,06/22/2020 04:27:43 PM,Q104,Q104-01,,Active,No,Not Applicable,"Vernon Blvd, 40 & 41 Aves",Vernon Playground,Adults not allowed in some locations,Q104-CPA-0001,03/31/2020,06/22/2020,401,Q-01,40.75708770751953,-73.94696044921875,POINT (-73.94696044921875 40.75708770751953)
M,Completely Locked,06/22/2020 11:12:31 AM,M010,M010-059,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,72 St & East Green,East 72nd St Plgd,Unknown,M010-CPA-0003,03/31/2020,06/21/2020,164,M-13,40.772037506103516,-73.96788024902344,POINT (-73.96788024902344 40.772037506103516)
B,Completely Locked,06/22/2020 12:38:34 PM,B270,B270,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Hegeman Ave., Linden Blvd. bet. Powell St. and Mother Gaston Blvd.",Brownsville Playground,Adults Allowed,B270-CPA-0001,03/31/2020,06/20/2020,316,B-16,40.65665817260742,-73.90154266357422,POINT (-73.90154266357422 40.65665817260742)
M,Completely Locked,06/19/2020 10:04:49 AM,M019,M019,,Active,No,Not Applicable,"Cherry St, Pike St, Monroe St",Coleman Playground,Adults Allowed,M019-CPA-0001,03/31/2020,06/19/2020,103,M-03,40.71086120605469,-73.9937744140625,POINT (-73.9937744140625 40.71086120605469)
B,Completely Locked,06/22/2020 03:10:40 PM,B154,B154,,Active,No,Not Applicable,S. 3 St. bet. Berry St. and Bedford Ave.,Berry Playground,Adults Allowed,B154-CPA-0001,03/31/2020,06/21/2020,301,B-01,40.71261215209961,-73.96344757080078,POINT (-73.96344757080078 40.71261215209961)
B,Completely Locked,06/22/2020 03:23:12 PM,B310,B310,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,Flushing Ave. bet.. Beaver St. and Garden St.,Bushwick Playground,Adults Allowed,B310-CPA-0001,03/31/2020,06/21/2020,301,B-01,40.70163345336914,-73.93914031982422,POINT (-73.93914031982422 40.70163345336914)
B,Completely Locked,06/23/2020 10:01:04 AM,B313,B313,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Macdonough St. between Malcolm X Blvd. and Stuyvesant Ave.,El Shabazz Playground,Adults Allowed,B313-CPA-0001,03/31/2020,06/22/2020,303,B-03,40.682857513427734,-73.93085479736328,POINT (-73.93085479736328 40.682857513427734)
B,Completely Locked,06/22/2020 03:35:31 PM,B012,B012-03,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Brooklyn Ave & Prospect Pl,Brower Park,Adults Allowed,B012-CPA-0002,03/31/2020,06/22/2020,308,B-08,40.674163818359375,-73.94319152832031,POINT (-73.94319152832031 40.674163818359375)
B,Completely Locked,06/22/2020 12:39:48 PM,B396,B396,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Watkins St., Mother Gaston Blvd., Livonia Ave., Riverdale Ave.",Nehemiah Park,Adults Allowed,B396-CPA-0001,03/31/2020,06/20/2020,316,B-16,40.661895751953125,-73.9056167602539,POINT (-73.9056167602539 40.661895751953125)
B,Completely Locked,06/22/2020 03:45:07 PM,B197,B197,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Avenue V bet. E. 13 St. and E. 14 St.,Mellett Playground,Adults Allowed,B197-CPA-0001,03/31/2020,06/22/2020,315,B-15,40.59725570678711,-73.95733642578125,POINT (-73.95733642578125 40.59725570678711)
X,Completely Locked,06/22/2020 10:41:43 AM,X152,X152,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W. 254 St. bet. Riverdale Ave. and Mosholu Ave.,Vinmont Veteran Park,Adults Allowed,X152-CPA-0001,03/31/2020,06/21/2020,208,X-08,40.902061462402344,-73.90484619140625,POINT (-73.90484619140625 40.902061462402344)
