Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District,Latitude,Longitude,Point
B,Completely Locked,06/22/2020 03:01:03 PM,B385,B385,Yes,,,,,Transmitter,,,03/31/2020,06/21/2020,301,B-01,40.729862213134766,-73.96075439453125,POINT (-73.96075439453125 40.729862213134766)
M,Completely Locked,06/23/2020 09:14:23 AM,M283,M283-01,,,,,,Nelson Rockefeller Park Playground North,,,03/31/2020,06/22/2020,101,M-01,40.71808624267578,-74.01555633544922,POINT (-74.01555633544922 40.71808624267578)
X,Completely Locked,06/22/2020 10:26:30 AM,X291,X291,Yes,,,,E. 181 St. bet. Walton Ave. and Jerome A,Walton Playground,,,03/31/2020,06/21/2020,205,X-05,40.855308532714844,-73.90518188476562,POINT (-73.90518188476562 40.855308532714844)
X,Completely Locked,06/22/2020 10:39:31 AM,X019,X019-01,,,,,,Ewen Playground,,,03/31/2020,06/21/2020,208,X-08,40.88312911987305,-73.90985870361328,POINT (-73.90985870361328 40.88312911987305)
B,Completely Locked,06/22/2020 01:55:05 PM,B169,B169,Yes,,,,,Beach at B 6 St,,,03/31/2020,06/22/2020,313,B-13,40.57489776611328,-73.96096801757812,POINT (-73.96096801757812 40.57489776611328)
Q,Partially Locked,06/22/2020 01:07:06 PM,Q336,Q336,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Union Turnpike, Vleigh Pl., 141 St.",Judge Moses Weinstein Playground,Adults Allowed,Q336-CPA-0001,03/31/2020,06/21/2020,408,Q-08,40.71866989135742,-73.82066345214844,POINT (-73.82066345214844 40.71866989135742)
X,Partially Locked,06/22/2020 11:10:04 AM,X122,X122,,Active,No,Not Applicable,Hutchinson River Pkwy. E. bet. Wilkinson Ave. and E. 197 St.,Colucci Playground,Adults Allowed,X122-CPA-0001,03/31/2020,06/21/2020,210,X-10,40.85223388671875,-73.83507537841797,POINT (-73.83507537841797 40.85223388671875)
B,Completely Locked,06/22/2020 04:15:01 PM,B100,B100,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W. 12 St. bet. Bay Pkwy. and Ave. P,Seth Low Playground/ Bealin Square,Adults not allowed in some locations,B100-CPA-0001,03/31/2020,06/20/2020,311,B-11,40.608543395996094,-73.98602294921875,POINT (-73.98602294921875 40.608543395996094)
X,Not Lockable,06/22/2020 10:52:00 AM,X002,X002-05A,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Waring Ave, Bronx Pk E",Waring Plgd,Adults Allowed,X002-CPA-0003,03/31/2020,06/21/2020,227,X-14,40.860652923583984,-73.87152862548828,POINT (-73.87152862548828 40.860652923583984)
Q,Completely Locked,06/21/2020 04:56:36 PM,Q313,Q313,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Arverne Blvd. bet. Beach 56 St. and Beach 54 St.,Arverne Playground,Adults Allowed,Q313-CPA-0001,03/31/2020,06/21/2020,414,Q-14,40.59288787841797,-73.785400390625,POINT (-73.785400390625 40.59288787841797)
X,Completely Locked,06/22/2020 09:40:13 AM,X348,X348-01,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,North Side Of E 157th St & River Ave,River Avenue Parks,Adults not allowed in some locations,X348-CPA-0001,03/31/2020,06/21/2020,204,X-04,40.82579040527344,-73.9267578125,POINT (-73.9267578125 40.82579040527344)
M,Completely Locked,06/22/2020 03:29:53 PM,M071,M071-08,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,W 83 St & Riverside Dr,River Run Plgd,Unknown,M071-CPA-0005,03/31/2020,06/21/2020,107,M-14,40.786949157714844,-73.98223876953125,POINT (-73.98223876953125 40.786949157714844)
B,Completely Locked,06/22/2020 04:20:06 PM,B210I,B210I,,Active,No,Not Applicable,3 Ave. bet. 40 St. and 41 St.,Gonzalo Plasencia Playground,Adults Allowed,B210I-CPA-0001,03/31/2020,06/22/2020,307,B-07,40.652252197265625,-74.00806427001953,POINT (-74.00806427001953 40.652252197265625)
R,Not Lockable,06/22/2020 05:07:27 PM,R031,R031-08,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Between Park Building And Pond,Wolfe's Pond Park,Adults not allowed in some locations,R031-CPA-0001,03/31/2020,06/22/2020,503,R-03,40.516075134277344,-74.19099426269531,POINT (-74.19099426269531 40.516075134277344)
B,Completely Locked,06/22/2020 01:55:05 PM,B106B,B106B,,,,,"Stillwell Ave., Benson Ave., Bay 43 St.",Lafayette Playground,,,03/31/2020,06/22/2020,313,B-13,40.59450912475586,-73.98529052734375,POINT (-73.98529052734375 40.59450912475586)
M,Partially Locked,06/23/2020 09:14:34 AM,M283,M283-02,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,"River Terr, Warren St",Nelson Rockefeller Playground,Unknown,M283-CPA-0001,03/31/2020,06/22/2020,101,M-01,40.71684646606445,-74.01663970947266,POINT (-74.01663970947266 40.71684646606445)
M,Completely Locked,06/22/2020 01:10:27 PM,M047,M047-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 114 St & Pleasant,Thomas Jefferson Park Playground,Adults not allowed in some locations,M047-CPA-0001,03/31/2020,06/21/2020,111,M-11,40.79356384277344,-73.93460845947266,POINT (-73.93460845947266 40.79356384277344)
Q,Partially Locked,06/04/2020 04:16:17 PM,Q066C,Q066C,,,,,Hoyt Ave. bet. 23 St. and  24 St.,Triborough Bridge Playground C,,,03/31/2020,,401,Q-01,40.77397918701172,-73.9222412109375,POINT (-73.9222412109375 40.77397918701172)
X,Completely Locked,06/22/2020 10:17:13 AM,X148E,X148E,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Cross Bronx Exwy Service Rd N bet. Topping Av and Clay Av,Peace Park,Adults Allowed,X148E-CPA-0001,03/31/2020,06/21/2020,205,X-05,40.845191955566406,-73.9050064086914,POINT (-73.9050064086914 40.845191955566406)
M,Completely Locked,06/22/2020 11:44:29 AM,M029,M029-02,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,Broadway & Dyckman St,Anne Loftus Plgd,Unknown,M029-CPA-0002,03/31/2020,06/21/2020,112,M-12,40.86499786376953,-73.9291763305664,POINT (-73.9291763305664 40.86499786376953)
Q,Partially Locked,06/23/2020 11:10:39 AM,Q310,Q310,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"74 Ave., 260 St.",Glen Oaks Oval,Adults not allowed in some locations,Q310-CPA-0001,03/31/2020,06/23/2020,413,Q-13,40.74958038330078,-73.71617126464844,POINT (-73.71617126464844 40.74958038330078)
B,Completely Locked,06/23/2020 10:01:04 AM,B323,B323,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Monroe St. to Madison St. between Marcy Ave. and Tompkins Ave.,Hattie Carthan Playground,Adults Allowed,B323-CPA-0001,03/31/2020,06/22/2020,303,B-03,40.68561935424805,-73.94650268554688,POINT (-73.94650268554688 40.68561935424805)
X,Completely Locked,06/22/2020 10:55:10 AM,X123,X123,,Active,No,Not Applicable,Noble Ave. bet. Bronx River Av and  E 177 St,Noble Playground,Adults Allowed,X123-CPA-0001,03/31/2020,06/21/2020,209,X-09,40.83689498901367,-73.8718490600586,POINT (-73.8718490600586 40.83689498901367)
Q,Completely Locked,06/22/2020 12:57:44 PM,Q021B,Q021B,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,McLaughlin Ave. bet. Sutro St. and Francis Lewis Blvd.,McLaughlin Playground,Adults not allowed in some locations,Q021B-CPA-0001,03/31/2020,06/21/2020,408,Q-08,40.72557067871094,-73.76634216308594,POINT (-73.76634216308594 40.72557067871094)
M,Completely Locked,06/22/2020 04:11:41 PM,M249,M249,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"W. 26 St., 8 Ave. To 9 Ave.",Penn South Playground,Adults not allowed in some locations,M249-CPA-0001,03/31/2020,06/21/2020,104,M-04,40.74753952026367,-73.9984130859375,POINT (-73.9984130859375 40.74753952026367)
B,Completely Locked,06/22/2020 01:15:17 PM,B304,B304,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"E. 93 St. to E. 94 St., between Lenox Rd. and Clarkson Ave.",Kennedy King Playground,Adults Allowed,B304-CPA-0001,03/31/2020,06/22/2020,317,B-17,40.65837860107422,-73.92201232910156,POINT (-73.92201232910156 40.65837860107422)
X,Completely Locked,06/22/2020 11:05:07 AM,X170,X170,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,St. Peter's Ave. at Tratman Ave.,The Pearly Gates,Adults Allowed,X170-CPA-0001,03/31/2020,06/21/2020,210,X-10,40.83859634399414,-73.8455581665039,POINT (-73.8455581665039 40.83859634399414)
B,Completely Locked,06/22/2020 03:00:27 PM,B001,B001,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Franklin St. bet. Milton St. and Noble St.,American Playground,Adults Allowed,B001-CPA-0001,03/31/2020,06/21/2020,301,B-01,40.72858428955078,-73.95802307128906,POINT (-73.95802307128906 40.72858428955078)
R,Completely Locked,06/22/2020 02:26:45 PM,R064,R064,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Schmidts La., Manor Rd. and Laguardia Ave.",Christopher J. Igneri Playground,Adults Allowed,R064-CPA-0001,03/31/2020,06/22/2020,502,R-02,40.60868453979492,-74.11972045898438,POINT (-74.11972045898438 40.60868453979492)
Q,Completely Locked,06/23/2020 10:55:47 AM,Q099,Q099-15,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Jewel Ave & Van Wyck Exwy,Triassic Playground,Unknown,Q099-CPA-0002,03/31/2020,06/23/2020,481,Q-15,40.72998046875,-73.83509063720703,POINT (-73.83509063720703 40.72998046875)
Q,Completely Locked,06/22/2020 02:46:20 PM,Q357G,Q357G,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"Horace Harding Exwy. Sr. Rd. S., 138 St., 61 Rd.",Turtle Playground,Adults not allowed in some locations,Q357G-CPA-0001,03/31/2020,06/22/2020,407,Q-07,40.74222946166992,-73.82759857177734,POINT (-73.82759857177734 40.74222946166992)
B,Completely Locked,06/22/2020 02:28:32 PM,B131,B131,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Arberdeen St., Furman Ave. north of Bushwick Ave.",Rudd Playground,Adults Allowed,B131-CPA-0001,03/31/2020,06/22/2020,304,B-04,40.683353424072266,-73.90523529052734,POINT (-73.90523529052734 40.683353424072266)
M,Completely Locked,06/22/2020 04:36:53 PM,M285,M285,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Lexington Ave. bet. E. 122 St. and 123 St.,Dr. Ronald E. McNair Playground,Adults Allowed,M285-CPA-0001,03/31/2020,06/22/2020,111,M-11,40.80267333984375,-73.93798065185547,POINT (-73.93798065185547 40.80267333984375)
M,Partially Locked,06/22/2020 10:44:52 AM,M056,M056-04,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Morningside Dr & 110 St,Morningside Park,Adults not allowed in some locations,M056-CPA-0004,03/31/2020,06/21/2020,109,M-09,40.80192565917969,-73.95993041992188,POINT (-73.95993041992188 40.80192565917969)
M,Completely Locked,06/22/2020 03:44:19 PM,M138,M138,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,"W. 150 St., W/s 7 Ave.",Bill Bojangles Robinson Playground,Adults Allowed,M138-CPA-0001,03/31/2020,,110,M-10,40.82521057128906,-73.93730926513672,POINT (-73.93730926513672 40.82521057128906)
X,Completely Locked,06/22/2020 11:14:47 AM,X214,X214,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Olinville Ave. at Rosewood St.,Magenta Playground,Adults Allowed,X214-CPA-0001,03/31/2020,06/21/2020,212,X-12,40.873470306396484,-73.86785125732422,POINT (-73.86785125732422 40.873470306396484)
R,Partially Locked,06/19/2020 01:55:06 PM,R038,R038,,,,,,Midland Playground,,,03/31/2020,06/19/2020,502,R-02B,40.568603515625,-74.09114074707031,POINT (-74.09114074707031 40.568603515625)
Q,Completely Locked,06/21/2020 01:09:59 PM,Q022,Q022,,Active,No,Not Applicable,37 Ave. bet. Bowne St. and Parsons Blvd.,Margaret I. Carman Green - Weeping Beech,Adults Allowed,Q022-CPA-0001,03/31/2020,06/21/2020,407,Q-07,40.763675689697266,-73.8245849609375,POINT (-73.8245849609375 40.763675689697266)
Q,Partially Locked,06/22/2020 03:13:41 PM,Q141,Q141,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"45 Ave., 45 Rd. bet. 11 St. and 21 St.",Murray Playground,Adults not allowed in some locations,Q141-CPA-0001,03/31/2020,06/22/2020,402,Q-02,40.747169494628906,-73.9486083984375,POINT (-73.9486083984375 40.747169494628906)
R,Completely Locked,06/22/2020 01:45:20 PM,R033,R033,,Active,No,Not Applicable,Jewett Ave. and Castleton Ave.,Levy Playground,Unknown,R033-CPA-0001,03/31/2020,06/22/2020,501,R-01,40.63397216796875,-74.12895202636719,POINT (-74.12895202636719 40.63397216796875)
X,Completely Locked,06/22/2020 09:30:14 AM,X272,X272,,Active,No,Not Applicable,E. 136 St. bet. Brown Pl. and Willis Ave.,Ranaqua Playground,Adults Allowed,X272-CPA-0001,03/31/2020,06/21/2020,201,X-01,40.80682373046875,-73.92207336425781,POINT (-73.92207336425781 40.80682373046875)
B,Completely Locked,06/22/2020 04:15:01 PM,B164,B164,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Shore Pkwy. bet. Bay 14 St. and Bay 16 St.,Bath Beach Park,Adults not allowed in some locations,B164-CPA-0001,03/31/2020,06/20/2020,311,B-11,40.60282516479492,-74.01134490966797,POINT (-74.01134490966797 40.60282516479492)
R,Completely Locked,06/24/2020 09:07:55 AM,R038A,R038A,,,,,,Midland Field,,,03/31/2020,06/23/2020,502,R-02B,40.57655715942383,-74.09922790527344,POINT (-74.09922790527344 40.57655715942383)
Q,Partially Locked,06/23/2020 12:29:29 PM,Q437,Q437,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Murray St. bet. Barclay Ave. and Sanford Ave.,Murray Hill Playground,Adults Allowed,Q437-CPA-0001,03/31/2020,06/23/2020,407,Q-07,40.76149368286133,-73.81181335449219,POINT (-73.81181335449219 40.76149368286133)
B,Completely Locked,06/22/2020 03:28:45 PM,B282,B282,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"80 St. To 81 St., 11 Ave. To 12 Ave.",Patrick O'Rourke Playground,Adults not allowed in some locations,B282-CPA-0001,03/31/2020,06/22/2020,310,B-10,40.61929702758789,-74.01444244384766,POINT (-74.01444244384766 40.61929702758789)
B,Completely Locked,06/22/2020 01:35:26 PM,B360,B360,,Active,No,Not Applicable,Remsen Ave. and Glenwood Rd.,Remsen Playground,Adults Allowed,B360-CPA-0001,03/31/2020,06/22/2020,318,B-18,40.642032623291016,-73.9075698852539,POINT (-73.9075698852539 40.642032623291016)
X,Completely Locked,06/22/2020 10:22:59 AM,X252,X252,,Active,No,Not Applicable,Washington to Bathgate Av bet. W 181 St and E 183 St,Bathgate Playground,Adults Allowed,X252-CPA-0001,03/31/2020,06/21/2020,206,X-06,40.8521728515625,-73.89439392089844,POINT (-73.89439392089844 40.8521728515625)
M,Completely Locked,06/22/2020 11:12:13 AM,M010,M010-164,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,81 St & Central Pk West,Diana Ross Plgd,Unknown,M010-CPA-0009,03/31/2020,06/21/2020,164,M-13,40.78226089477539,-73.97098541259766,POINT (-73.97098541259766 40.78226089477539)
Q,Partially Locked,06/21/2020 04:56:36 PM,Q460,Q460,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Cross Bay Blvd., Channel Rd. bet. E. 16 Rd. and E. 18 Rd.",Broad Channel Park,Unknown,Q460-CPA-0001,03/31/2020,06/21/2020,414,Q-14,40.600555419921875,-73.82000732421875,POINT (-73.82000732421875 40.600555419921875)
B,Completely Locked,06/22/2020 02:32:19 PM,B016,B016-01,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,Knickerbocker St Entrance,Maria Hernandez Park Playground,Adults not allowed in some locations,B016-CPA-0001,03/31/2020,06/22/2020,304,B-04,40.70277404785156,-73.9242172241211,POINT (-73.9242172241211 40.70277404785156)
X,Completely Locked,06/22/2020 10:42:31 AM,X092,X092-05,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,"VC Park South, Gouverneur Ave",Van Cortlandt Classic Plgd,Adults Allowed,X092-CPA-0001,03/31/2020,06/21/2020,226,X-13,40.88521194458008,-73.89038848876953,POINT (-73.89038848876953 40.88521194458008)
M,Completely Locked,06/22/2020 12:55:27 PM,M217,M217,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"W. 135 St. To W. 136 St., Lenox Ave. To 5 Ave.",Howard Bennett Playground,Adults Allowed,M217-CPA-0001,03/31/2020,06/21/2020,110,M-10,40.813819885253906,-73.93914794921875,POINT (-73.93914794921875 40.813819885253906)
B,Completely Locked,06/23/2020 12:15:46 PM,B166B,B166B,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Belt Pkwy., Williams Court  bet. E. 12 St. and Homecrest Ave",Homecrest Playground,Adults Allowed,B166B-CPA-0001,03/31/2020,,315,B-15,40.58648681640625,-73.9575424194336,POINT (-73.9575424194336 40.58648681640625)
B,Completely Locked,06/22/2020 04:41:13 PM,B321,B321,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Dekalb Ave. between Adelphi St. and Carlton Ave.,Edmonds Playground,Adults Allowed,B321-CPA-0001,03/31/2020,06/22/2020,302,B-02,40.68927764892578,-73.97181701660156,POINT (-73.97181701660156 40.68927764892578)
M,Completely Locked,06/22/2020 05:21:19 PM,M079,M079,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"1 Ave., bet. E. 67 St. To E. 68 St.",St. Catherine's Park,Adults Allowed,M079-CPA-0001,03/31/2020,06/21/2020,108,M-08,40.76502990722656,-73.95854187011719,POINT (-73.95854187011719 40.76502990722656)
X,Completely Locked,07/06/2020 12:47:41 PM,X104,X104-01,,Active,No,Not Applicable,"Reservoir Oval East, Holt Pl",Plgd w/ Mini Pool & Courts,Unknown,X104-CPA-0001,03/31/2020,07/06/2020,207,X-07,40.87749099731445,-73.87638092041016,POINT (-73.87638092041016 40.87749099731445)
M,Partially Locked,06/22/2020 12:53:41 PM,M211A,M211A,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W/s 7 Ave. bet. W. 127 St. and W. 129 St.,St. Nicholas Playground South,Adults Allowed,M211A-CPA-0001,03/31/2020,06/21/2020,110,M-10,40.81084060668945,-73.94743347167969,POINT (-73.94743347167969 40.81084060668945)
Q,Partially Locked,06/19/2020 01:55:42 PM,Q344,Q344,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Jewel Ave., 71 Ave. bet. 163 St. and 164 St.",Emerald Playground,Adults Allowed,Q344-CPA-0001,03/31/2020,06/19/2020,408,Q-08,40.73073196411133,-73.8060073852539,POINT (-73.8060073852539 40.73073196411133)
Q,Partially Locked,06/19/2020 10:47:45 AM,Q015,Q015-02,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Union Tpke, Park Lane S, Adj Overlook",Sobelsohn Park,Unknown,Q015-CPA-0001,03/31/2020,06/19/2020,482,Q-16,40.70953369140625,-73.83597564697266,POINT (-73.83597564697266 40.70953369140625)
Q,Completely Locked,06/22/2020 06:30:03 PM,Q296,Q296,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,35 Ave. bet. Steinway St. and 41 St.,Playground Thirty Five XXXV,Adults not allowed in some locations,Q296-CPA-0001,03/31/2020,06/22/2020,401,Q-01,40.75476837158203,-73.92207336425781,POINT (-73.92207336425781 40.75476837158203)
B,Not Lockable,06/22/2020 03:35:31 PM,B350,B350,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Sterling Pl. to Park Pl. between Classon Ave. and Washington Ave.,Stroud Playground,Unknown,B350-CPA-0001,03/31/2020,06/22/2020,308,B-08,40.67497634887695,-73.9623794555664,POINT (-73.9623794555664 40.67497634887695)
Q,Completely Locked,06/21/2020 04:56:36 PM,Q367,Q367,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Rockaway Beach Blvd. bet. Beach 84 St. and Beach 81 St.,Hammel Playground,Adults Allowed,Q367-CPA-0001,03/31/2020,06/21/2020,414,Q-14,40.58821487426758,-73.8096694946289,POINT (-73.8096694946289 40.58821487426758)
B,Completely Locked,06/23/2020 10:01:04 AM,B262,B262,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Tompkins Ave. between Halsey St. and Macon St.,Potomac Playground,Adults Allowed,B262-CPA-0001,03/31/2020,06/22/2020,303,B-03,40.68195724487305,-73.94405364990234,POINT (-73.94405364990234 40.68195724487305)
Q,Completely Locked,06/22/2020 01:08:51 PM,Q212,Q212,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,137 St. bet. 76 Ave. and 76 Rd.,Queens Valley Playground,Adults Allowed,Q212-CPA-0001,03/31/2020,06/21/2020,408,Q-08,40.72177505493164,-73.8239974975586,POINT (-73.8239974975586 40.72177505493164)
B,Completely Locked,06/22/2020 04:39:33 PM,B221,B221,,,,,"Flushing Ave., Steuben St., Williamsburg Pl.",Steuben Playground,,,03/31/2020,06/22/2020,302,B-02,40.697444915771484,-73.96345520019531,POINT (-73.96345520019531 40.697444915771484)
B,Completely Locked,06/22/2020 03:22:32 PM,B022,B022,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Lynch St., Middleton St. bet. Lee Ave. and Bedford Ave.",Middleton Playground,Adults Allowed,B022-CPA-0001,03/31/2020,06/21/2020,301,B-01,40.70059585571289,-73.95555114746094,POINT (-73.95555114746094 40.70059585571289)
M,Completely Locked,06/22/2020 04:15:27 PM,M089,M089-01,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,Union Sq W Betw. 17 & 16 St,Evelyn's Playground,Adults not allowed in some locations,M089-CPA-0001,03/31/2020,06/21/2020,105,M-05,40.736366271972656,-73.98998260498047,POINT (-73.98998260498047 40.736366271972656)
M,Completely Locked,06/22/2020 03:57:42 PM,M088,M088-03,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E 7 St - 8 St & Ave B,Tompkins Square Park,Unknown,M088-CPA-0002,03/31/2020,06/21/2020,103,M-03,40.72562026977539,-73.9815444946289,POINT (-73.9815444946289 40.72562026977539)
B,Completely Locked,06/22/2020 01:55:05 PM,B080,B080-01,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Surf Ave & 5 St,Asser Levy Plgd,Adults not allowed in some locations,B080-CPA-0001,03/31/2020,06/22/2020,313,B-13,40.575252532958984,-73.97213745117188,POINT (-73.97213745117188 40.575252532958984)
Q,Completely Locked,06/19/2020 10:36:06 AM,Q099,Q099-54,,Active,No,Not Applicable,Behind Tennis Center,Saturn Playground,Unknown,Q099-CPA-0007,03/31/2020,06/19/2020,481,Q-15,40.74905014038086,-73.84310150146484,POINT (-73.84310150146484 40.74905014038086)
Q,Not Lockable,06/21/2020 02:55:40 PM,Q092,Q092,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"N. Conduit Ave., 135 Ave. bet. 130 Pl. and 134 St.",Police Officer Edward Byrne Park,Adults Allowed,Q092-CPA-0001,03/31/2020,06/21/2020,410,Q-10,40.66745376586914,-73.80689239501953,POINT (-73.80689239501953 40.66745376586914)
B,Partially Locked,06/22/2020 12:32:23 PM,B214,B214-01,,Active,No,Not Applicable,"Vermont St, Stanley Ave, Gershwin JHS, Fence Betw Courts & Football Field",Linden Park,Adults Allowed,B214-CPA-0001,03/31/2020,06/20/2020,305,B-05,40.65816116333008,-73.8878173828125,POINT (-73.8878173828125 40.65816116333008)
Q,Completely Locked,06/21/2020 03:03:32 PM,Q005,Q005-01,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Sutphin Blvd & 125 Ave,Sutphin Playground,Unknown,Q005-CPA-0001,03/31/2020,06/21/2020,412,Q-12,40.674766540527344,-73.78912353515625,POINT (-73.78912353515625 40.674766540527344)
R,Not Lockable,06/22/2020 04:47:31 PM,R111,R111,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Wall St. bet. St Marks Pl. and Belmont Pl.,Lt. Lia Playground,Adults not allowed in some locations,R111-CPA-0001,03/31/2020,06/22/2020,501,R-01,40.64360809326172,-74.07981872558594,POINT (-74.07981872558594 40.64360809326172)
Q,Partially Locked,06/23/2020 12:26:47 PM,Q419,Q419,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,147 St. bet. 26 Ave. and 27 Ave.,Hart Playground,Adults not allowed in some locations,Q419-CPA-0001,03/31/2020,06/23/2020,407,Q-07,40.774105072021484,-73.81947326660156,POINT (-73.81947326660156 40.774105072021484)
M,Completely Locked,06/22/2020 05:25:14 PM,M258,M258,,Active,Yes,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"FDR Dr., E. 106 St. To E. 107 St.",East River Playground,Adults Allowed,M258-CPA-0001,03/31/2020,06/21/2020,111,M-15,40.789180755615234,-73.93791961669922,POINT (-73.93791961669922 40.789180755615234)
X,Completely Locked,06/22/2020 10:48:41 AM,X004,X004-02,,Active,Yes,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"E 219 St, Bronx River Parkway",Olinville Playground,Adults Allowed,X004-CPA-0002,03/31/2020,06/21/2020,212,X-14,40.88408660888672,-73.86697387695312,POINT (-73.86697387695312 40.88408660888672)
Q,Not Lockable,06/21/2020 03:03:32 PM,Q396,Q396,,Active,No,Not Applicable,"Springfield Blvd., Sloan St. bet. 139 Ave. and Eastgate Plaza",Montbellier Park,Adults Allowed,Q396-CPA-0001,03/31/2020,06/21/2020,412,Q-12,40.67366409301758,-73.75676727294922,POINT (-73.75676727294922 40.67366409301758)
R,Completely Locked,06/22/2020 01:43:51 PM,R005,R005-15,,Active,Yes,Level 3: Accessible Playgrounds with Universally Accessible Swings,Clove Road & Forest Ave,Saturn Play Equipment,Adults not allowed in some locations,R005-CPA-0002,03/31/2020,06/22/2020,501,R-01,40.62714385986328,-74.12116241455078,POINT (-74.12116241455078 40.62714385986328)
Q,Completely Locked,06/21/2020 03:03:32 PM,Q121,Q121-02,,,,,,K.l. Williams Playground (Tennis),,,03/31/2020,06/21/2020,412,Q-12,40.70384979248047,-73.7850570678711,POINT (-73.7850570678711 40.70384979248047)
